,benchmark,model,ROC,precision @ rank,time
372,wine_benchmark_0094.csv,KNN,0.5544,0.4252,0.8868
373,wine_benchmark_0094.csv,LOF,0.5349,0.3977,0.9451
374,wine_benchmark_0094.csv,PCA,0.5371,0.415,0.029
375,wine_benchmark_0094.csv,LODA,0.5199,0.3941,0.076
376,wine_benchmark_0095.csv,KNN,0.5435,0.4151,0.9361
377,wine_benchmark_0095.csv,LOF,0.5185,0.3921,0.7571
378,wine_benchmark_0095.csv,PCA,0.5374,0.4122,0.03
379,wine_benchmark_0095.csv,LODA,0.5532,0.4194,0.078
380,wine_benchmark_0096.csv,KNN,0.523,0.3994,1.4742
381,wine_benchmark_0096.csv,LOF,0.5129,0.3906,1.5944
382,wine_benchmark_0096.csv,PCA,0.521,0.4016,0.057
383,wine_benchmark_0096.csv,LODA,0.5748,0.4375,0.081
384,wine_benchmark_0097.csv,KNN,0.5456,0.3933,1.4442
385,wine_benchmark_0097.csv,LOF,0.5308,0.3799,1.4161
386,wine_benchmark_0097.csv,PCA,0.5401,0.3978,0.058
387,wine_benchmark_0097.csv,LODA,0.5515,0.4089,0.098
388,wine_benchmark_0098.csv,KNN,0.5417,0.4087,1.5049
389,wine_benchmark_0098.csv,LOF,0.5349,0.4006,1.4439
390,wine_benchmark_0098.csv,PCA,0.5394,0.4065,0.067
391,wine_benchmark_0098.csv,LODA,0.4981,0.3793,0.088
392,wine_benchmark_0099.csv,KNN,0.529,0.3643,1.1666
393,wine_benchmark_0099.csv,LOF,0.511,0.3527,1.3246
394,wine_benchmark_0099.csv,PCA,0.523,0.3658,0.054
395,wine_benchmark_0099.csv,LODA,0.5522,0.3844,0.095
396,wine_benchmark_0100.csv,KNN,0.5451,0.3956,1.5041
397,wine_benchmark_0100.csv,LOF,0.5196,0.3721,1.5788
398,wine_benchmark_0100.csv,PCA,0.5401,0.3918,0.067
399,wine_benchmark_0100.csv,LODA,0.5164,0.391,0.085
400,wine_benchmark_0101.csv,KNN,0.5436,0.4192,0.282
401,wine_benchmark_0101.csv,LOF,0.5637,0.4315,0.384
402,wine_benchmark_0101.csv,PCA,0.5204,0.4004,0.019
403,wine_benchmark_0101.csv,LODA,0.5282,0.4091,0.082
404,wine_benchmark_0102.csv,KNN,0.5218,0.3897,0.235
405,wine_benchmark_0102.csv,LOF,0.5458,0.3991,0.3388
406,wine_benchmark_0102.csv,PCA,0.5198,0.3931,0.013
